;Order;PID;MS_SubClass;Lot_Frontage;Lot_Area;Overall_Qual;Overall_Cond;Year_Built;Mas_Vnr_Area;BsmtFin SF 1;BsmtFin SF 2;Bsmt_Unf_SF;Total_Bsmt_SF;1st Flr SF;2nd Flr SF;Low Qual Fin SF;Gr_Liv_Area;Bsmt Full Bath;Bsmt Half Bath;Full_Bath;Half_Bath;Bedroom_AbvGr;Kitchen AbvGr;Garage_Yr_Blt;Garage_Cars;Garage_Area;Wood Deck SF;Open Porch SF;Enclosed Porch;3Ssn Porch;Screen Porch;Pool Area;Misc Val;Mo Sold;Yr Sold;Sale_Price;DEDED
23;23;527368020;60;NA;7500;7;5;2000;0;533;0;281;814;814;860;0;1674;1;0;2;1;3;1;2000;2;663;0;96;0;0;0;0;0;1;2010;216000;
24;24;527402200;20;NA;11241;6;7;1970;180;578;0;426;1004;1004;0;0;1004;1;0;1;0;2;1;1970;2;480;0;0;0;0;0;0;700;3;2010;;
25;25;527402250;20;NA;12537;5;6;1971;0;734;0;344;1078;1078;0;0;1078;1;0;1;1;3;1;1971;2;500;0;0;0;0;0;0;0;4;2010;149900;
26;26;527403020;20;65;8450;5;6;1968;0;775;0;281;1056;1056;0;0;1056;1;0;1;0;3;1;1968;1;304;0;85;184;0;0;0;0;7;2010;142000;
27;27;527404120;20;70;8400;4;5;1970;0;804;78;0;882;882;0;0;882;1;0;1;0;2;1;1970;2;525;240;0;0;0;0;0;0;4;2010;126000;
28;28;527425090;20;70;10500;4;5;1971;0;432;0;432;864;864;0;0;864;0;0;1;0;3;1;NA;0;0;0;0;0;0;0;0;0;4;2010;115000;
29;29;527427230;120;26;5858;7;5;1999;0;1051;0;354;1405;1337;0;0;1337;1;0;2;0;2;1;1999;2;511;203;68;0;0;0;0;0;6;2010;184000;
30;30;527451180;160;21;1680;6;5;1971;504;156;0;327;483;483;504;0;987;0;0;1;1;2;1;1971;1;264;275;0;0;0;0;0;0;2;2010;96000;
31;31;527451330;160;21;1680;5;5;1971;492;300;0;225;525;525;567;0;1092;0;0;1;1;3;1;1997;1;320;0;0;0;0;0;0;0;3;2010;105500;
32;32;527451410;160;21;1680;6;5;1971;381;0;0;525;525;525;567;0;1092;0;0;1;1;3;1;1971;1;264;0;0;0;0;0;0;0;3;2010;88000;
33;33;527452190;120;53;4043;6;5;1977;0;360;0;709;1069;1069;0;0;1069;0;0;2;0;2;1;1977;2;440;0;55;0;0;165;0;0;7;2010;127500;
34;34;527453130;160;24;2280;6;6;1975;0;514;0;341;855;855;601;0;1456;0;0;2;1;3;1;1975;2;440;173;0;0;0;0;0;0;6;2010;149900;
35;35;527453150;120;24;2280;7;6;1975;0;0;0;836;836;836;0;0;836;0;0;1;0;2;1;1975;1;308;0;30;0;0;0;0;0;6;2010;NA;
36;36;527454200;160;24;2280;6;5;1978;0;311;0;544;855;855;601;0;1456;0;0;2;1;3;1;1978;2;440;26;0;0;0;0;0;0;7;2010;146000;
37;37;528108120;60;102;12858;9;5;2009;162;0;0;1590;1590;1627;707;0;2334;0;0;2;1;3;1;2009;3;751;144;133;0;0;0;0;0;1;2010;376162;
38;38;528112020;20;98;11478;8;5;2007;200;1218;0;486;1704;1704;0;0;1704;1;0;2;0;3;1;2008;3;772;0;50;0;0;0;0;0;5;2010;306000;
39;39;528120060;20;83;10159;9;5;2009;450;1646;0;284;1930;1940;0;0;1940;1;0;2;1;3;1;2010;3;606;168;95;0;0;0;0;0;4;2010;395192;
40;40;528120090;20;94;12883;8;5;2009;256;0;0;1544;1544;1544;0;0;1544;0;0;2;0;3;1;2009;3;868;0;35;0;0;0;0;0;6;2010;290941;
41;41;528120100;20;95;12182;7;5;2005;226;1201;0;340;1541;1541;0;0;1541;0;0;2;0;3;1;2005;2;532;0;70;0;0;0;0;0;5;2010;220000;
42;42;528120120;20;90;11520;9;5;2005;615;110;0;1588;1698;1698;0;0;1698;0;0;2;0;3;1;2005;3;730;192;74;0;0;0;0;0;6;2010;NA;
43;43;528138020;20;79;14122;8;5;2005;240;28;0;1794;1822;1822;0;0;1822;0;0;2;0;3;1;2005;3;678;0;119;0;0;0;0;0;2;2010;;
44;44;528138060;20;70;10171;7;5;2004;168;2;0;1515;1517;1535;0;0;1535;0;0;2;0;3;1;2004;2;532;0;0;0;0;0;0;0;3;2010;214000;
45;45;528150070;20;100;12919;9;5;2009;760;2188;0;142;2330;2364;0;0;2364;1;0;2;1;2;1;2009;3;820;0;67;0;0;0;0;0;3;2010;611657;
46;46;528175010;120;44;6371;7;5;2009;128;733;0;625;1358;1358;0;0;1358;1;0;2;0;2;1;2010;2;484;192;35;0;0;0;0;0;6;2010;224000;
47;47;528176010;20;110;14300;9;5;2003;1095;1373;0;1473;2846;2696;0;0;2696;1;0;2;1;3;1;2003;3;958;220;150;0;0;0;0;0;6;2010;500000;
48;48;528176070;60;105;13650;8;5;2002;232;578;0;1093;1671;1687;563;0;2250;1;0;2;1;3;1;2002;3;756;238;130;0;0;0;0;0;6;2010;320000;
49;49;528180070;120;61;7658;9;5;2005;412;456;0;1296;1752;1752;0;0;1752;1;0;2;0;2;1;2005;2;576;196;82;0;0;0;0;0;2;2010;319900;
50;50;528181050;120;41;7132;8;5;2006;178;24;0;1346;1370;1370;0;0;1370;0;0;2;0;2;1;2006;2;484;120;49;0;0;0;0;0;4;2010;205000;
51;51;528188120;160;36;2628;7;5;2003;106;0;0;764;764;764;862;0;1626;0;0;2;1;2;1;2003;2;474;0;27;0;0;0;0;0;6;2010;175500;
52;52;528218150;20;100;18494;6;5;2005;0;0;0;1324;1324;1324;0;0;1324;0;0;2;0;3;1;2005;2;430;36;23;0;0;0;0;0;1;2010;;
53;53;528228285;120;43;3203;7;5;2006;14;16;0;1129;1145;1145;0;0;1145;0;0;2;0;2;1;2006;2;437;100;116;0;0;0;0;0;1;2010;160000;
54;54;528228440;120;43;3182;8;5;2004;16;24;0;1232;1256;1269;0;0;1269;0;0;2;0;2;1;2004;2;430;146;20;0;0;144;0;0;4;2010;NA;
55;55;528231020;80;67;13300;7;5;2004;0;326;0;58;384;744;630;0;1374;1;0;2;1;3;1;2004;2;400;100;0;0;0;0;0;0;6;2010;NA;
56;56;528240070;60;NA;7851;6;5;2002;NA;625;0;235;860;860;1100;0;1960;1;0;2;1;4;1;2002;2;440;288;48;0;0;0;0;0;5;2010;216500;
57;57;528240130;60;63;8577;7;5;2004;0;0;0;847;847;847;886;0;1733;0;0;2;1;3;1;2004;2;433;144;48;0;0;0;0;0;4;2010;;
58;58;528250100;80;NA;7750;7;5;2000;0;250;0;134;384;774;656;0;1430;0;0;2;1;3;1;2000;2;400;180;0;0;0;0;0;0;4;2010;180000;
59;59;528292020;60;NA;9505;7;5;2001;180;0;0;884;884;884;1151;0;2035;0;0;2;1;3;1;2001;2;434;144;48;0;0;0;0;0;5;2010;222500;
60;60;528328100;60;108;14774;9;5;1999;165;0;0;1393;1393;1422;1177;0;2599;0;0;2;1;4;1;1999;3;779;668;30;0;0;0;0;0;5;2010;333168;
61;61;528344070;60;60;17433;8;5;1998;114;0;0;1629;1629;1645;830;0;2475;0;0;2;1;4;1;1998;3;962;23;172;0;0;256;0;0;1;2010;355000;
62;62;528358010;20;59;10593;7;5;1996;338;919;0;801;1720;1720;0;0;1720;1;0;2;0;3;1;1996;2;527;240;56;154;0;0;0;0;3;2010;260400;
63;63;528363130;60;98;12256;8;5;1994;362;1032;0;431;1463;1500;1122;0;2622;1;0;2;1;3;1;1994;2;712;186;32;0;0;0;0;0;4;2010;325000;
64;64;528382020;60;92;11764;8;7;1999;348;524;0;628;1152;1164;1106;0;2270;0;0;2;1;4;1;1999;3;671;132;57;0;0;0;0;0;4;2010;290000;
65;65;528382030;60;58;16770;7;5;1998;30;0;0;1195;1195;1195;644;0;1839;0;0;2;1;4;1;1998;2;486;0;81;0;0;0;0;0;6;2010;221000;
66;66;528386040;50;56;14720;8;5;1995;579;816;0;1217;2033;2053;1185;0;3238;1;0;2;1;4;1;1996;3;666;283;86;0;0;0;0;0;3;2010;410000;
67;67;528445060;20;73;8987;8;5;2005;226;0;0;1595;1595;1595;0;0;1595;0;0;2;0;2;1;2005;3;880;144;0;0;0;0;0;0;5;2010;221500;
68;68;528456160;20;92;9215;7;5;2009;0;0;0;1218;1218;1218;0;0;1218;0;0;2;0;2;1;2009;2;676;0;136;0;0;0;0;0;4;2010;204500;
69;69;528458070;60;72;8640;7;5;2009;0;24;0;732;756;764;783;0;1547;0;0;2;1;3;1;2009;2;614;169;45;0;0;0;0;0;6;2010;215200;
70;70;528458110;20;75;9000;8;5;2008;36;1078;0;488;1566;1566;0;0;1566;1;0;2;0;3;1;2008;2;750;144;168;0;0;0;0;0;4;2010;262500;
71;71;528477080;60;100;12552;7;5;2004;0;222;0;769;991;991;956;0;1947;0;0;2;1;3;1;2004;2;678;0;136;0;0;0;0;0;5;2010;254900;
72;72;528480090;20;84;10440;6;5;2005;0;1414;0;54;1468;1468;0;0;1468;1;0;2;0;2;1;2005;2;528;0;102;0;0;216;0;0;5;2010;271500;
73;73;531367050;60;76;10142;7;5;2004;0;656;0;300;956;956;1128;0;2084;1;0;2;1;4;1;2004;2;618;0;45;0;0;0;0;0;1;2010;233000;
74;74;531369060;60;70;11920;7;5;2004;122;0;0;831;831;831;828;0;1659;0;0;2;1;3;1;2004;2;484;144;68;0;0;0;0;0;4;2010;181000;
75;75;531380080;60;NA;8880;7;5;1994;0;695;0;253;948;1222;888;0;2110;1;0;2;1;3;1;1994;2;463;0;130;0;0;0;0;0;5;2010;205000;
76;76;531451110;120;50;8012;6;5;1980;0;543;119;261;923;923;0;0;923;0;0;2;0;2;1;1980;1;264;80;0;0;0;0;0;0;5;2010;143000;
77;77;531451280;60;70;11218;6;5;1992;0;0;0;1055;1055;1055;790;0;1845;0;0;2;1;3;1;1992;2;462;635;104;0;0;0;0;400;5;2010;189000;
78;78;531452020;120;55;7892;6;5;1979;0;0;0;918;918;918;0;0;918;0;0;2;0;2;1;1979;1;264;28;0;0;0;0;0;0;4;2010;99500;
79;79;531452050;120;50;7175;6;5;1984;0;623;121;0;744;752;0;0;752;1;0;1;0;2;1;1984;1;264;353;0;0;0;90;0;0;2;2010;125000;
80;80;531452180;60;NA;9453;7;7;1993;0;402;0;594;996;1014;730;0;1744;0;0;2;1;3;1;1993;2;457;370;70;0;238;0;0;0;2;2010;194500;
81;81;531453010;20;81;9672;6;5;1984;0;338;0;702;1040;1097;0;0;1097;0;0;2;0;3;1;1986;2;480;0;0;0;0;0;0;0;5;2010;152000;
82;82;531453040;60;70;8400;6;6;1980;130;0;0;650;650;888;676;0;1564;0;0;2;1;3;1;1980;2;476;0;50;0;0;204;0;0;4;2010;171000;
83;83;531477050;30;70;9800;5;5;1920;0;0;0;816;816;1012;0;0;1012;0;0;1;0;2;1;1920;1;429;121;0;80;0;0;0;0;4;2010;67500;
84;84;532351140;90;68;8930;6;5;1978;0;0;0;0;0;1318;584;0;1902;0;0;2;0;4;2;1978;2;539;0;0;0;0;0;0;0;4;2010;112000;
85;85;532354090;85;88;11782;5;7;1961;0;899;0;210;1109;1155;0;0;1155;1;0;1;0;3;1;1987;2;576;192;0;0;0;0;0;400;6;2010;148000;
86;86;532376160;20;65;8450;5;8;1965;0;553;117;224;894;894;0;0;894;1;0;1;0;3;1;1973;1;336;416;144;0;0;0;0;0;4;2010;138500;
87;87;532377060;20;NA;9819;5;5;1967;31;450;0;432;882;900;0;0;900;0;0;1;0;3;1;1970;1;280;0;0;0;0;0;0;0;2;2010;122000;
88;88;532377100;20;75;7500;5;5;1963;0;824;0;216;1040;1040;0;0;1040;1;0;1;1;3;1;1963;1;308;0;0;220;0;0;0;0;6;2010;133000;
89;89;532378110;20;NA;6897;5;8;1962;0;659;0;381;1040;1040;0;0;1040;1;0;1;1;3;1;1962;1;260;0;104;0;0;0;0;0;4;2010;127000;
90;90;532479070;20;39;15410;6;6;1974;250;126;859;223;1208;1494;0;0;1494;1;0;2;0;3;1;1974;2;461;296;0;186;0;0;0;0;4;2010;169000;
91;91;533130020;60;107;10186;7;5;1992;0;674;0;76;750;1061;862;0;1923;1;0;2;1;3;1;1992;2;564;240;39;0;0;0;0;0;6;2010;190000;
92;92;533130130;60;85;13143;8;5;1993;504;250;981;0;1231;1251;1098;0;2349;1;0;2;1;4;1;1993;3;762;32;130;0;0;0;0;0;6;2010;362500;
93;93;533130160;60;88;11134;8;5;1992;180;1129;0;261;1390;1402;823;0;2225;1;0;2;1;4;1;1992;3;713;198;30;0;0;0;0;0;6;2010;285000;
94;94;533205060;120;25;4835;7;5;2004;0;1298;0;190;1488;1488;0;0;1488;1;0;2;0;2;1;2004;2;506;168;50;0;0;0;0;0;3;2010;260000;
95;95;533208090;160;39;3515;7;5;2004;0;0;0;840;840;840;840;0;1680;0;0;2;1;2;1;2004;2;588;0;111;0;0;0;0;0;1;2010;190000;
96;96;533210060;160;30;3215;7;5;2004;120;280;0;320;600;600;600;0;1200;0;0;2;1;2;1;2004;2;480;0;172;0;0;0;0;0;4;2010;155000;
97;97;533212010;160;30;3182;7;5;2004;0;0;0;600;600;600;600;0;1200;0;0;2;1;2;1;2004;2;480;0;172;0;0;0;0;0;6;2010;151000;
98;98;533212020;160;24;2544;7;5;2004;0;368;42;190;600;600;600;0;1200;1;0;2;1;2;1;2004;2;480;0;172;0;0;0;0;0;2;2010;149500;
99;99;533212060;160;24;2544;6;5;2005;216;376;0;224;600;600;636;0;1236;1;0;2;1;2;1;2005;2;480;0;166;0;0;0;0;0;5;2010;152000;
100;100;533213030;20;NA;4403;7;5;2009;432;578;0;892;1470;1478;0;0;1478;1;0;2;1;2;1;2009;2;484;0;144;0;0;0;0;0;6;2010;222000;
101;101;533221090;160;NA;2117;6;5;2000;216;378;0;378;756;769;804;0;1573;0;0;2;1;3;1;2000;2;440;0;32;0;0;0;0;0;6;2010;177500;
102;102;533221110;160;NA;2980;6;5;2000;1159;466;0;290;756;756;756;0;1512;1;0;2;1;2;1;2000;2;440;0;32;0;0;0;0;0;5;2010;177000;
103;103;533223020;160;24;2572;7;5;1999;0;604;0;92;696;696;720;0;1416;1;0;2;1;3;1;1999;2;484;0;44;0;0;0;0;0;5;2010;155000;
104;104;533223100;160;NA;2403;7;5;2003;0;244;0;286;530;530;550;0;1080;0;0;2;1;2;1;2003;2;496;0;50;0;0;0;0;0;6;2010;147110;
105;105;533238045;20;57;12853;8;5;2010;0;1032;0;610;1642;1418;0;0;1418;1;0;1;1;1;1;2010;3;852;160;192;0;224;0;0;0;4;2010;267916;
106;106;533244030;60;68;7379;8;5;2000;0;484;0;491;975;975;873;0;1848;1;0;2;1;3;1;2000;2;592;280;184;0;0;0;0;0;4;2010;254000;
107;107;533253060;120;30;4420;8;5;1980;0;728;0;0;728;788;0;0;788;1;0;1;0;1;1;1980;2;484;133;42;0;0;0;0;0;6;2010;155000;
108;108;533253210;120;40;3880;8;6;1978;0;1052;0;174;1226;1226;0;0;1226;1;0;1;0;1;1;1978;2;484;223;78;0;0;0;0;0;1;2010;NA;
109;109;533352170;60;NA;13517;6;8;1976;289;533;0;192;725;725;754;0;1479;0;0;2;1;3;1;1976;2;475;0;44;0;0;0;0;0;3;2010;130500;
110;110;534102025;20;80;8000;7;5;2002;0;833;0;659;1492;1492;0;0;1492;1;0;2;0;3;1;2002;2;596;277;137;0;0;0;0;0;4;2010;230000;
111;111;534129040;20;NA;10456;6;6;1967;120;506;0;1323;1829;1829;0;0;1829;1;0;2;0;4;1;1967;2;535;0;76;0;0;0;0;0;5;2010;218500;
112;112;534151175;60;80;10791;6;5;1993;0;1137;0;143;1280;1280;1215;0;2495;1;0;2;1;4;1;1993;2;660;224;32;0;0;0;0;0;3;2010;243500;
113;113;534152050;20;NA;10603;6;7;1977;28;1200;0;410;1610;1610;0;0;1610;1;0;2;0;3;1;1977;2;480;168;68;0;0;0;0;0;2;2010;205000;
114;114;534152070;50;NA;18837;6;5;1978;0;687;46;491;1224;1287;604;0;1891;0;1;3;0;3;1;1978;2;678;0;69;0;0;0;0;0;4;2010;212500;
115;115;534152100;60;80;10421;7;5;1988;42;394;0;586;980;980;734;0;1714;0;0;2;1;3;1;1988;2;496;228;66;156;0;0;0;500;3;2010;196500;
116;116;534176060;20;78;9360;6;7;1972;0;982;0;179;1161;1381;0;0;1381;1;0;1;1;3;1;1972;2;676;0;0;0;0;0;0;0;3;2010;197500;
117;117;534176230;60;80;9600;6;6;1971;0;329;0;386;715;930;715;0;1645;0;0;1;2;4;1;1971;2;441;0;78;0;0;0;0;0;6;2010;171000;
118;118;534202160;20;80;9600;5;5;1966;172;698;0;534;1232;1232;0;0;1232;1;0;1;1;3;1;1966;2;490;0;224;0;0;0;0;0;4;2010;142250;
119;119;534251320;20;NA;9790;6;5;1963;451;569;81;678;1328;1328;0;0;1328;1;0;1;1;3;1;1963;2;528;0;26;0;0;0;0;0;6;2010;143000;
120;120;534276360;20;77;9320;4;5;1959;0;569;0;381;950;1225;0;0;1225;1;0;1;1;3;1;NA;0;0;352;0;0;0;0;0;400;1;2010;128950;
121;121;534401110;20;90;9900;5;5;1966;0;1059;0;150;1209;1209;0;0;1209;1;0;1;0;3;1;1966;2;504;0;0;120;0;0;0;0;4;2010;159000;
122;122;534401140;20;88;9680;5;6;1967;268;1010;0;500;1510;1510;0;0;1510;1;0;2;0;3;1;1967;2;517;0;40;0;0;204;0;0;4;2010;178900;
123;123;534403360;80;NA;10600;6;5;1964;0;0;0;533;533;1131;644;0;1775;0;0;2;0;3;1;1964;2;480;0;172;0;0;0;0;0;5;2010;136300;
124;124;534403410;80;NA;14112;5;7;1964;86;1014;0;138;1152;1152;0;0;1152;1;0;1;0;3;1;1964;2;484;227;0;0;0;0;0;0;4;2010;180500;
125;125;534425310;85;80;8800;6;7;1963;156;763;0;173;936;1054;0;0;1054;1;0;1;0;3;1;1963;2;480;120;0;0;0;0;0;0;5;2010;137500;
126;126;534427010;90;98;13260;5;6;1962;144;1500;0;228;1728;1728;0;0;1728;2;0;2;0;6;2;NA;0;0;0;0;0;0;0;0;0;1;2010;84900;
127;127;534430080;20;68;9717;5;6;1950;0;49;1029;0;1078;1078;0;0;1078;1;0;1;0;2;1;1950;1;240;366;0;112;0;0;0;0;4;2010;142125;
128;128;534431050;50;68;9724;5;7;1952;265;670;0;470;1140;1929;532;0;2461;0;0;2;0;3;1;1994;2;400;0;0;0;0;0;0;0;3;2010;197600;
129;129;534431070;50;120;17360;6;6;1949;340;300;0;482;782;1019;537;0;1556;0;0;2;0;3;1;1949;2;470;0;0;150;0;0;0;0;1;2010;172500;
130;130;534450180;20;50;7207;5;7;1958;0;696;0;162;858;858;0;0;858;1;0;1;0;2;1;NA;0;0;117;0;0;0;0;0;0;2;2010;116500;
131;131;534451150;30;55;5350;3;2;1940;0;0;0;728;728;1306;0;0;1306;0;0;1;0;3;1;NA;0;0;263;0;0;0;0;0;450;5;2010;76500;
132;132;534475100;20;80;9920;5;5;1954;110;354;290;412;1056;1063;0;0;1063;1;0;1;0;3;1;1954;1;280;0;0;164;0;0;0;0;2;2010;128000;
133;133;534476260;80;80;9600;6;6;1955;164;674;132;350;1156;1520;0;0;1520;1;0;1;0;3;1;1955;1;364;0;0;189;0;0;0;0;3;2010;153000;
134;134;534479320;20;78;7800;5;6;1954;200;540;0;728;1268;1268;0;0;1268;0;0;1;0;2;1;1954;1;244;0;98;0;0;0;0;0;3;2010;132000;
135;135;535101020;85;75;11380;6;8;1966;216;944;0;136;1080;1128;0;0;1128;1;0;1;0;2;1;1966;1;315;238;0;0;0;0;0;1500;1;2010;178000;
136;136;535106190;90;80;11600;5;5;1960;361;443;0;662;1105;1105;1169;0;2274;0;0;2;0;5;2;1960;2;480;0;0;0;0;0;0;0;1;2010;154300;
137;137;535125010;20;NA;19900;7;5;1970;287;912;0;1035;1947;2207;0;0;2207;1;0;2;0;3;1;1970;2;576;301;0;0;0;0;0;0;7;2010;180000;
138;138;535126040;20;137;16492;6;6;1966;0;247;713;557;1517;1888;0;0;1888;0;0;2;1;2;1;1966;2;578;0;0;0;0;0;0;0;6;2010;190000;
139;139;535152010;90;70;8267;5;5;1958;0;0;0;1604;1604;1604;0;0;1604;0;0;2;0;4;2;1958;2;576;42;0;0;0;0;0;0;3;2010;135000;
140;140;535152050;20;70;8197;7;5;2003;506;1188;0;292;1480;1480;0;0;1480;1;0;2;0;3;1;2003;2;620;252;73;0;0;0;0;300;2;2010;214000;
141;141;535152130;20;NA;8050;5;5;1959;150;856;162;125;1143;1143;0;0;1143;1;0;1;0;3;1;1959;1;308;0;0;0;0;0;0;0;5;2010;136000;
142;142;535152150;20;70;10552;5;5;1959;0;1018;0;380;1398;1700;0;0;1700;0;1;1;1;4;1;1959;2;447;0;38;0;0;0;0;0;4;2010;165500;
143;143;535152250;20;70;8400;5;6;1957;0;922;0;392;1314;1314;0;0;1314;1;0;1;0;3;1;1957;1;294;250;0;0;0;0;0;0;6;2010;145000;
144;144;535153070;20;73;8760;6;6;1959;220;0;0;1194;1194;1194;0;0;1194;1;0;1;0;3;1;1959;1;312;0;0;120;0;0;0;0;4;2010;148000;
145;145;535154050;20;NA;12160;5;5;1959;180;1000;0;188;1188;1188;0;0;1188;1;0;1;0;3;1;1959;2;531;0;0;0;0;0;0;0;5;2010;142000;
146;146;535175070;20;73;9300;5;5;1960;324;697;0;571;1268;1264;0;0;1264;1;0;1;0;3;1;1960;2;461;0;0;0;0;143;0;0;4;2010;167500;
147;147;535175180;20;87;10725;5;5;1959;91;936;0;270;1206;1206;0;0;1206;0;0;1;0;3;1;1959;1;312;0;21;0;0;0;0;0;5;2010;108538;
148;148;535179020;20;80;10032;6;5;1959;432;734;0;510;1244;1580;0;0;1580;1;0;1;1;3;1;1956;2;440;0;28;0;0;160;0;0;6;2010;159500;
149;149;535180130;50;60;8382;4;5;1956;0;0;0;832;832;832;505;0;1337;0;0;1;0;3;1;1956;1;263;0;0;0;0;0;0;0;2;2010;108000;
150;150;535302080;20;60;10950;5;7;1952;0;339;0;525;864;1064;0;0;1064;0;1;1;0;2;1;1952;1;318;0;0;0;0;0;0;0;5;2010;135000;
151;151;535302200;20;119;10895;5;6;1955;0;648;0;324;972;972;0;0;972;0;0;1;0;3;1;1955;1;305;0;0;205;0;0;0;0;6;2010;122500;
152;152;535304060;190;70;13587;5;5;1958;0;532;0;456;988;988;0;0;988;1;0;1;0;2;1;1958;1;264;0;0;0;0;0;0;0;4;2010;119000;
153;153;535304180;20;68;7922;5;7;1953;0;731;0;326;1057;1057;0;0;1057;1;0;1;0;3;1;1953;1;246;0;52;0;0;0;0;0;1;2010;109000;
154;154;535325400;30;65;7898;4;7;1920;0;0;0;576;576;985;0;0;985;0;1;1;0;2;1;1989;2;676;0;0;0;0;0;0;0;4;2010;105000;
155;155;535327140;20;60;7200;5;7;1955;0;0;0;0;0;827;0;0;827;0;0;1;0;2;1;1967;1;392;0;0;0;0;0;0;0;4;2010;107500;
156;156;535350030;20;85;10200;5;7;1954;104;320;362;404;1086;1086;0;0;1086;1;0;1;0;3;1;1989;2;490;0;0;0;0;0;0;0;5;2010;144900;
157;157;535350040;20;74;5868;5;7;1956;0;248;240;448;936;936;0;0;936;1;0;1;0;2;1;1956;1;308;0;0;80;0;160;0;0;5;2010;129000;
